	Line 106: 02:52.419	ID:22	30 0 171 0 4626 50 2 0 12854 12588 12599 2048 2048 0 485 0 4726 4642 22706 2 63492 2 6176 63492 36188 4414 5518 32422 0 41712
	Line 111: 02:58.051	ID:22	17188,177,177,6
	Line 112: 02:58.078	ID:22	30 0 177 0 1542 49 1 0 14385 11320 14129 55 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 114: 03:01.678	ID:22	24117,180,180,14
	Line 115: 03:01.715	ID:22	30 0 180 0 3598 50 1 0 12593 11319 14385 48 2048 0 397 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 120: 03:04.871	ID:22	-11316,184,183,4
	Line 121: 03:04.900	ID:22	30 0 183 0 1028 45 2 0 13105 13873 12588 13368 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 126: 03:10.275	ID:22	-12883,189,189,1
	Line 127: 03:10.310	ID:22	30 0 189 0 257 45 1 0 14386 13112 12588 14648 2048 0 4 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 0
	Line 129: 03:12.447	ID:22	-22953,191,191,2
	Line 130: 03:12.482	ID:22	30 0 191 0 514 45 2 0 14642 13109 12588 12601 2048 0 488 0 4726 4642 22706 4642 1 15 60530 35414 23240 0 34346 59254 0 0
	Line 132: 03:17.327	ID:22	8893,196,196,17
	Line 133: 03:17.364	ID:22	30 0 196 0 4369 56 1 0 13113 12588 13881 2048 2048 0 231 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 135: 03:19.494	ID:22	7910,198,198,12
	Line 136: 03:19.531	ID:22	30 0 198 0 3084 55 1 0 12337 12588 14393 2048 2048 0 486 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 138: 03:21.791	ID:22	18498,201,200,6
	Line 139: 03:21.828	ID:22	30 0 200 0 1542 49 1 0 14644 11320 12338 49 35334 50004 0 667 0 10696 33376 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 141: 03:24.004	ID:22	22087,203,203,10
	Line 142: 03:24.040	ID:22	30 0 203 0 2570 50 1 0 14384 11319 12338 51 2048 0 487 0 4726 4642 22706 4642 1 15 60530 35414 23240 0 21516 4834 23718 44835
	Line 147: 03:31.048	ID:22	12842,210,210,15
	Line 148: 03:31.075	ID:22	30 0 210 0 3855 49 1 0 13368 11314 12594 48 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 151: 03:33.237	ID:22	-12228,212,212,18
	Line 152: 03:33.274	ID:22	30 0 212 0 4626 45 2 0 12850 14386 12844 12849 2048 0 487 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 153: 03:33.491	ID:22	-15657,212,212,11
	Line 154: 03:33.520	ID:22	30 0 212 0 2827 45 1 0 13877 14133 12844 12849 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 156: 03:39.478	ID:22	-15272,218,218,16
	Line 157: 03:39.515	ID:22	30 0 218 0 4112 45 2 0 12853 12855 12844 14385 2048 0 202 0 4726 4642 22706 4642 1 15 60530 35414 35414 23240 34346 59254 0 0
	Line 165: 03:50.337	ID:22	25329,229,229,5
	Line 166: 03:50.373	ID:22	30 0 229 0 1285 50 1 0 12851 11321 12850 57 2048 0 159 0 4732 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 1 41712
	Line 171: 04:02.516	ID:22	-31629,241,241,1
	Line 172: 04:02.544	ID:22	30 0 241 0 257 45 1 0 13873 14642 12844 12596 43520 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 178: 04:08.824	ID:22	29259,247,247,18
	Line 179: 04:08.852	ID:22	30 0 247 0 4626 50 2 0 13618 11321 13362 55 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 180: 04:09.073	ID:22	-26089,247,248,16
	Line 181: 04:09.110	ID:22	30 0 248 0 4112 45 2 0 12342 14648 12844 14132 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 189: 04:22.790	ID:22	16371,261,261,5
	Line 190: 04:22.826	ID:22	30 0 261 0 1285 49 1 0 14131 11313 13874 49 2048 0 415 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 195: 04:29.036	ID:22	28305,268,268,4
	Line 196: 04:29.070	ID:22	30 0 268 0 1028 50 2 0 12339 11317 13874 56 35454 60038 41712 2 36 17 0 0 0 2 6176 63492 36188 4414 5518 32422 0 41712
	Line 198: 04:33.272	ID:22	-22898,272,272,6
	Line 199: 04:33.308	ID:22	30 0 272 0 1542 45 1 0 14386 14393 12844 12855 0 22 6181 5 8 6176 6176 8 18378 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 204: 04:35.534	ID:22	20723,274,274,2
	Line 205: 04:35.570	ID:22	30 0 274 0 514 50 2 0 12855 11315 14130 52 2048 0 9 0 4726 4642 22706 4642 1 15 60530 35414 23240 0 37840 4834 23718 28486
	Line 207: 04:37.350	ID:22	17266,276,276,12
	Line 208: 04:37.383	ID:22	30 0 276 0 3084 49 1 0 13874 11318 14130 54 2048 0 165 34346 59254 17889 6 100 0 5 24576 79 0 9 63526 32422 0 41712
	Line 210: 04:45.860	ID:22	4067,284,284,10
