	Line 211: 01:16.536	ID:21	30 0 75 0 3598 56 2 0 11321 13623 0 0 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 217: 01:19.651	ID:21	4179,79,78,6
	Line 218: 01:19.677	ID:21	30 0 78 0 1542 52 1 0 14647 14124 57 0 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 220: 01:21.692	ID:21	26231,81,80,8
	Line 221: 01:21.728	ID:21	30 0 80 0 2056 50 2 0 13106 11313 12600 2048 2048 0 485 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 223: 01:27.144	ID:21	-3645,85,85,13
	Line 224: 01:27.170	ID:21	30 0 85 0 3341 45 1 0 13366 11317 13624 0 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 0
	Line 229: 01:31.111	ID:21	-27888,90,89,18
	Line 230: 01:31.146	ID:21	30 0 89 0 4626 45 1 0 14391 14392 14636 48 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 232: 01:32.599	ID:21	-14789,91,91,9
	Line 233: 01:32.635	ID:21	30 0 91 0 2313 45 1 0 14132 14648 14636 49 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 41712
	Line 235: 01:42.784	ID:21	19474,101,101,10
	Line 236: 01:42.818	ID:21	30 0 101 0 2570 49 1 0 14132 11316 12337 49 2048 0 229 0 4726 4642 22706 1 63492 1 6176 63492 36188 4414 5518 32422 0 0
	Line 238: 01:50.435	ID:21	-4680,109,109,15
	Line 239: 01:50.462	ID:21	30 0 109 0 3855 45 1 0 14390 11312 12337 57 43690 0 0 0 0 0 0 0 0 0 16448 0 0 0 0 10214 11054 44600
	Line 242: 01:57.953	ID:21	-24704,116,116,19
	Line 243: 01:57.989	ID:21	30 0 116 0 4883 45 1 0 14132 13360 12588 13873 2048 0 231 0 4726 4642 22706 4642 1 15 60530 35414 23240 0 34346 59254 0 0
